#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
272.250927,475,283.181453
268.539899,367,283.539668
299.459452,169,283.703441
297.872528,269,283.962398
256.553428,500,284.390878
269.615813,241,284.597154
270.009104,307,284.95514
283.584653,222,285.167699
305.046264,225,285.410598
254.500619,254,285.711156
243.8496,404,286.13698
246.520359,409,286.535189
303.229562,213,286.759616
271.636758,633,287.427994
238.558514,441,287.866906
297.925064,155,288.020585
293.312056,475,288.508251
295.543943,305,288.822176
152.792069,1000,289.782035
256.511648,204,289.980589
296.09802,295,290.259278
166.220707,1000,291.185514
249.937919,208,291.37232
269.214922,274,291.653951
269.762936,210,291.735811
236.721763,186,291.807002
262.165527,195,291.882354
243.062604,369,292.022196
251.526462,427,292.186767
304.1994,249,292.284586
214.434976,434,292.455103
278.0384,159,292.517719
224.752798,286,292.626242
278.579645,345,292.940661
283.54536,339,293.242899
273.046128,339,293.549124
265.913956,344,293.85887
277.56416,336,294.163776
286.770153,301,294.433941
248.964698,273,294.676819
37.778769,94,294.762279
265.031893,308,295.044561
281.503997,296,295.314493
261.360051,528,295.779536
285.322023,244,296.000005
244.930811,300,296.273728
254.174357,524,296.747864
286.919622,323,297.037584
272.584864,299,297.306517
246.906761,364,297.636441
253.127013,234,297.841034
289.132824,197,298.016215
265.916107,327,298.328333
256.378761,203,298.567417
278.676099,248,298.817632
250.462458,218,299.041423
301.89304,277,299.312235
272.523271,309,299.608464
290.468219,382,299.969357
290.535536,257,300.240119
277.392608,292,300.554628
244.460145,356,300.850654
259.241651,357,301.142926
273.045436,321,301.400533
